"BehaviorSpace results (NetLogo 4.1.3)"
"path-finding2.nlogo"
"diff"
"02/15/2012 15:26:35:698 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","diffusion-rate","[step]","[steps] of one-of walkers"
"4","1","312","13"
"2","1","504","21"
"5","1","360","15"
"1","1","312","13"
"3","1","768","32"
"6","1","336","14"
"7","1","360","15"
"9","1","312","13"
"10","1","528","22"
"8","1","312","13"
"11","2","504","21"
"13","2","288","12"
"12","2","672","28"
"15","2","528","22"
"17","2","360","15"
"14","2","552","23"
"16","2","1032","43"
"18","2","1176","49"
"19","2","1368","57"
"22","3","336","14"
"20","2","504","21"
"21","3","1344","56"
"23","3","816","34"
"24","3","864","36"
"26","3","336","14"
"25","3","480","20"
"27","3","792","33"
"29","3","648","27"
"28","3","1104","46"
"31","4","432","18"
"32","4","504","21"
"30","3","576","24"
"35","4","288","12"
"34","4","672","28"
"33","4","792","33"
"36","4","288","12"
"38","4","408","17"
"40","4","408","17"
"37","4","1368","57"
"39","4","1320","55"
"41","5","1632","68"
"43","5","720","30"
"46","5","384","16"
"44","5","1248","52"
"45","5","1008","42"
"48","5","648","27"
"49","5","528","22"
"42","5","1032","43"
"47","5","1344","56"
"50","5","888","37"
"54","6","360","15"
"55","6","552","23"
"53","6","1296","54"
"56","6","504","21"
"51","6","2184","91"
"57","6","816","34"
"58","6","408","17"
"61","7","432","18"
"60","6","912","38"
"59","6","1104","46"
"62","7","1560","65"
"64","7","1488","62"
"65","7","1176","49"
"67","7","552","23"
"66","7","2472","103"
"63","7","4296","179"
"52","6","3336","139"
"68","7","1584","66"
"70","7","648","27"
"72","8","600","25"
"74","8","1008","42"
"69","7","2832","118"
"75","8","1104","46"
"73","8","2544","106"
"77","8","768","32"
"76","8","1224","51"
"78","8","1368","57"
"80","8","1800","75"
"79","8","2040","85"
"83","9","1008","42"
"84","9","312","13"
"82","9","2136","89"
"81","9","4344","181"
"85","9","1848","77"
"86","9","1512","63"
"87","9","1512","63"
"89","9","1248","52"
"88","9","1872","78"
"71","8","4800","200"
"92","10","720","30"
"91","10","1752","73"
"93","10","720","30"
"94","10","2136","89"
"90","9","4152","173"
"95","10","3120","130"
"96","10","1368","57"
"98","10","1152","48"
"99","10","1632","68"
"101","11","1536","64"
"102","11","888","37"
"100","10","1080","45"
"104","11","1464","61"
"103","11","2448","102"
"97","10","7632","318"
"107","11","1536","64"
"105","11","1608","67"
"108","11","1152","48"
"109","11","1704","71"
"112","12","1344","56"
"106","11","6192","258"
"111","12","3192","133"
"110","11","2136","89"
"113","12","1248","52"
"114","12","1848","77"
"117","12","1848","77"
"115","12","2784","116"
"116","12","1248","52"
"120","12","1128","47"
"119","12","2856","119"
"121","13","960","40"
"122","13","2256","94"
"125","13","2208","92"
"126","13","1176","49"
"123","13","4728","197"
"118","12","9528","397"
"128","13","1536","64"
"124","13","2712","113"
"127","13","3768","157"
"129","13","2136","89"
"130","13","2112","88"
"133","14","576","24"
"132","14","2184","91"
"134","14","2184","91"
"135","14","2544","106"
"137","14","2136","89"
"138","14","2760","115"
"139","14","4152","173"
"140","14","5784","241"
"136","14","9432","393"
"131","14","6216","259"
"142","15","1752","73"
"145","15","1632","68"
"143","15","3096","129"
"147","15","1944","81"
"146","15","2208","92"
"144","15","2160","90"
"141","15","11376","474"
"150","15","1608","67"
"148","15","4416","184"
"151","16","1320","55"
"149","15","6336","264"
"155","16","2064","86"
"154","16","5856","244"
"152","16","3168","132"
"157","16","984","41"
"153","16","7944","331"
"159","16","888","37"
"156","16","6072","253"
"162","17","2424","101"
"160","16","7728","322"
"161","17","7536","314"
"163","17","3480","145"
"158","16","4536","189"
"166","17","2760","115"
"168","17","3336","139"
"167","17","2808","117"
"170","17","312","13"
"165","17","13224","551"
"164","17","14760","615"
"169","17","11544","481"
"174","18","9000","375"
"172","18","13896","579"
"175","18","4512","188"
"173","18","22992","958"
"178","18","1704","71"
"177","18","8976","374"
"180","18","2472","103"
"171","18","17280","720"
"181","19","5712","238"
"179","18","10632","443"
"176","18","25224","1051"
"183","19","7320","305"
"185","19","3984","166"
"186","19","3480","145"
"184","19","8760","365"
"187","19","7272","303"
"190","19","2088","87"
"191","20","9816","409"
"188","19","18240","760"
"189","19","21120","880"
"192","20","5544","231"
"193","20","4968","207"
"196","20","2280","95"
"197","20","1704","71"
"195","20","7248","302"
"194","20","13368","557"
"198","20","7824","326"
"200","20","5976","249"
"201","21","5880","245"
"182","19","24696","1029"
"199","20","12000","500"
"205","21","4992","208"
"202","21","10344","431"
"204","21","4416","184"
"207","21","4200","175"
"208","21","2088","87"
"206","21","12744","531"
"209","21","8712","363"
"211","22","9120","380"
"203","21","29880","1245"
"212","22","18408","767"
"213","22","21408","892"
"210","21","16992","708"
"215","22","14208","592"
"216","22","15816","659"
"214","22","52392","2183"
"219","22","30576","1274"
"217","22","27096","1129"
"220","22","60576","2524"
"222","23","12864","536"
"218","22","96912","4038"
"221","23","74280","3095"
"223","23","30528","1272"
"227","23","4416","184"
"225","23","25968","1082"
"228","23","30864","1286"
"229","23","38424","1601"
"226","23","46824","1951"
"230","23","26952","1123"
"224","23","41688","1737"
"233","24","14184","591"
"235","24","26544","1106"
