"[run number]","evaporation-rate","[step]","[steps] of one-of walkers"
"2","5","1272","53"
"1","5","2136","89"
"4","5","2928","122"
"7","5","1248","52"
"6","5","1752","73"
"8","5","1224","51"
"5","5","3984","166"
"3","5","6096","254"
"10","5","1248","52"
"11","6","1248","52"
"12","6","1512","63"
"14","6","1224","51"
"9","5","3384","141"
"15","6","384","16"
"13","6","2088","87"
"18","6","936","39"
"17","6","1056","44"
"16","6","2328","97"
"21","7","1512","63"
"19","6","2592","108"
"20","6","2400","100"
"22","7","1152","48"
"25","7","480","20"
"24","7","1968","82"
"27","7","1368","57"
"26","7","2304","96"
"23","7","2736","114"
"30","7","576","24"
"29","7","1200","50"
"28","7","1848","77"
"33","8","888","37"
"32","8","1224","51"
"31","8","1608","67"
"34","8","1392","58"
"37","8","696","29"
"38","8","336","14"
"40","8","288","12"
"35","8","1968","82"
"41","9","384","16"
"36","8","2040","85"
"43","9","264","11"
"42","9","480","20"
"39","8","1176","49"
"44","9","336","14"
"46","9","528","22"
"45","9","888","37"
"47","9","624","26"
"50","9","576","24"
"48","9","1248","52"
"49","9","984","41"
"51","10","792","33"
"54","10","360","15"
"53","10","792","33"
"52","10","960","40"
"55","10","768","32"
"56","10","792","33"
"57","10","528","22"
"59","10","408","17"
"58","10","960","40"
"60","10","816","34"
"63","11","576","24"
"64","11","360","15"
"61","11","1080","45"
"62","11","1008","42"
"67","11","312","13"
"68","11","288","12"
"65","11","576","24"
"66","11","528","22"
"71","12","360","15"
"69","11","528","22"
"70","11","552","23"
"72","12","840","35"
"74","12","552","23"
"76","12","288","12"
"73","12","1152","48"
"77","12","720","30"
"78","12","744","31"
"79","12","408","17"
"81","13","312","13"
"75","12","1488","62"
"82","13","408","17"
"83","13","312","13"
"85","13","552","23"
"86","13","672","28"
"87","13","288","12"
"84","13","960","40"
"80","12","1728","72"
"89","13","312","13"
"88","13","528","22"
"90","13","336","14"
"92","14","312","13"
"93","14","288","12"
"94","14","336","14"
"91","14","720","30"
"95","14","480","20"
"96","14","480","20"
"98","14","432","18"
"99","14","480","20"
"100","14","336","14"
"97","14","768","32"
"103","15","312","13"
"102","15","432","18"
"104","15","480","20"
"105","15","480","20"
"106","15","528","22"
"101","15","1056","44"
"109","15","288","12"
"107","15","432","18"
"111","16","288","12"
"110","15","432","18"
"108","15","768","32"
"112","16","480","20"
"113","16","312","13"
"114","16","360","15"
"116","16","336","14"
"117","16","504","21"
"118","16","336","14"
"120","16","432","18"
"119","16","552","23"
"115","16","1296","54"
"121","17","552","23"
"123","17","264","11"
"122","17","360","15"
"125","17","288","12"
"124","17","456","19"
"127","17","288","12"
"126","17","432","18"
"129","17","360","15"
"128","17","480","20"
"130","17","408","17"
"132","18","432","18"
"133","18","432","18"
"134","18","480","20"
"135","18","312","13"
"131","18","816","34"
"136","18","288","12"
"137","18","360","15"
"139","18","336","14"
"138","18","408","17"
"140","18","456","19"
"142","19","312","13"
"141","19","504","21"
"144","19","336","14"
"143","19","456","19"
"145","19","336","14"
"146","19","360","15"
"147","19","384","16"
"148","19","408","17"
"150","19","288","12"
"149","19","312","13"
"151","20","288","12"
"152","20","360","15"
"153","20","360","15"
"155","20","288","12"
"154","20","360","15"
"156","20","312","13"
"158","20","360","15"
"157","20","408","17"
"160","20","408","17"
"159","20","456","19"
"161","21","264","11"
"162","21","288","12"
"163","21","288","12"
"164","21","288","12"
"165","21","288","12"
"167","21","336","14"
"166","21","528","22"
"169","21","288","12"
"168","21","408","17"
"172","22","264","11"
"170","21","288","12"
"171","22","312","13"
"173","22","360","15"
"174","22","360","15"
"175","22","456","19"
"176","22","528","22"
"179","22","288","12"
"177","22","408","17"
"178","22","360","15"
"180","22","336","14"
"181","23","312","13"
"182","23","288","12"
"184","23","264","11"
"183","23","384","16"
"185","23","312","13"
"187","23","288","12"
"186","23","336","14"
"188","23","312","13"
"189","23","384","16"
"191","24","288","12"
"190","23","360","15"
"192","24","288","12"
"193","24","336","14"
"194","24","288","12"
"195","24","264","11"
"196","24","336","14"
"199","24","288","12"
"198","24","336","14"
"200","24","312","13"
"197","24","408","17"
"203","25","264","11"
"201","25","384","16"
"204","25","456","19"
"202","25","456","19"
"205","25","288","12"
"206","25","336","14"
"207","25","312","13"
"209","25","288","12"
"208","25","384","16"
"210","25","288","12"
"211","26","408","17"
"213","26","288","12"
"214","26","312","13"
"212","26","432","18"
"215","26","360","15"
"217","26","312","13"
"216","26","360","15"
"218","26","384","16"
"219","26","312","13"
"220","26","336","14"
"221","27","336","14"
"222","27","336","14"
"223","27","312","13"
"224","27","408","17"
"225","27","288","12"
"227","27","336","14"
"228","27","264","11"
"226","27","456","19"
"229","27","360","15"
"230","27","336","14"
"231","28","288","12"
"232","28","408","17"
"234","28","360","15"
"233","28","408","17"
"236","28","312","13"
"235","28","504","21"
"238","28","288","12"
"237","28","408","17"
"240","28","312","13"
"239","28","408","17"
"241","29","288","12"
"244","29","312","13"
"242","29","528","22"
"243","29","432","18"
"245","29","336","14"
"247","29","288","12"
"246","29","432","18"
"249","29","432","18"
"250","29","288","12"
"248","29","648","27"
"251","30","480","20"
"252","30","264","11"
"253","30","312","13"
"255","30","336","14"
"257","30","288","12"
"254","30","744","31"
"256","30","432","18"
"259","30","288","12"
"260","30","336","14"
"258","30","552","23"
"261","31","360","15"
"262","31","360","15"
"264","31","312","13"
"265","31","336","14"
"266","31","336","14"
"263","31","648","27"
"267","31","336","14"
"269","31","312","13"
"268","31","408","17"
"270","31","360","15"
"272","32","264","11"
"271","32","360","15"
"273","32","312","13"
"274","32","288","12"
"276","32","312","13"
"275","32","360","15"
"278","32","264","11"
"279","32","432","18"
"280","32","408","17"
"277","32","456","19"
"281","33","360","15"
"282","33","288","12"
"284","33","312","13"
"285","33","336","14"
"283","33","504","21"
"286","33","336","14"
"288","33","336","14"
"289","33","336","14"
"287","33","552","23"
"292","34","264","11"
"291","34","408","17"
"290","33","696","29"
"294","34","288","12"
"293","34","384","16"
"295","34","384","16"
"297","34","288","12"
"296","34","432","18"
"299","34","264","11"
"298","34","408","17"
"300","34","360","15"
"301","35","264","11"
