"BehaviorSpace results (NetLogo 4.1.3)"
"path-finding2.nlogo"
"num-ghosts"
"02/15/2012 18:55:53:290 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","max-num-ghosts","[step]","[steps] of one-of walkers"
"4","1","672","28"
"3","1","744","31"
"5","1","264","11"
"6","1","480","20"
"2","1","1656","69"
"8","1","912","38"
"10","1","288","12"
"7","1","1512","63"
"9","1","1032","43"
"12","1","456","19"
"11","1","720","30"
"1","1","2232","93"
"13","1","552","23"
"14","1","360","15"
"17","1","360","15"
"16","1","480","20"
"19","1","480","20"
"15","1","1200","50"
"21","1","552","23"
"18","1","1392","58"
"22","1","456","19"
"20","1","1128","47"
"23","1","888","37"
"24","1","864","36"
"25","1","888","37"
"26","1","312","13"
"27","1","744","31"
"29","1","792","33"
"28","1","1008","42"
"31","1","432","18"
"32","1","312","13"
"33","1","504","21"
"35","1","408","17"
"34","1","480","20"
"30","1","984","41"
"36","1","744","31"
"37","1","744","31"
"38","1","1032","43"
"40","1","528","22"
"42","1","360","15"
"39","1","960","40"
"41","1","1032","43"
"43","1","528","22"
"46","1","264","11"
"44","1","792","33"
"45","1","600","25"
"49","1","480","20"
"48","1","696","29"
"50","1","432","18"
"51","1","648","27"
"52","1","672","28"
"47","1","1824","76"
"55","1","408","17"
"53","1","744","31"
"54","1","768","32"
"56","1","504","21"
"59","1","288","12"
"58","1","336","14"
"62","1","480","20"
"61","1","888","37"
"57","1","1752","73"
"60","1","1344","56"
"66","1","312","13"
"64","1","720","30"
"65","1","648","27"
"68","1","360","15"
"69","1","384","16"
"70","1","480","20"
"63","1","1056","44"
"71","1","960","40"
"72","1","864","36"
"67","1","1896","79"
"73","1","840","35"
"75","1","384","16"
"78","1","312","13"
"76","1","528","22"
"77","1","336","14"
"74","1","984","41"
"80","1","984","41"
"79","1","1104","46"
"81","1","864","36"
"82","1","1488","62"
"84","1","816","34"
"83","1","1032","43"
"87","1","456","19"
"86","1","720","30"
"85","1","912","38"
"90","1","528","22"
"89","1","912","38"
"88","1","1464","61"
"92","1","1128","47"
"93","1","1008","42"
"96","1","264","11"
"91","1","1752","73"
"95","1","768","32"
"97","1","912","38"
"98","1","384","16"
"94","1","2040","85"
"99","1","864","36"
"102","1","264","11"
"101","1","264","11"
